matrix_key,kappa,floor_h,usable_voters,B_size,cell_slack_float,supports,certificate_type,committee,deficit_voter,singleton_margin,worst_price_margin,certificate_detail
32672532606265,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7 8,8,0.0769230769231,128 | 1246 | 1357 | 23458 | 23678 | 45678,fixed coalitionwise price-saturation,1 6,3,1/28,3/8,92 coalition domains; 9 x-vertices; 6 base dual vertices
32672549379260,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,1246 | 1247 | 1358 | 23458 | 23678 | 45678,fixed coalitionwise price-saturation,1 3,7,1/16,3/16,98 coalition domains; 7 x-vertices; 5 base dual vertices
49296137752252,2,1 1 1 1 1 0 1 1,1 2 3 4 5 7 8,7,0.0666666666667,125 | 1347 | 2348 | 12678 | 35678 | 45678,fixed coalitionwise price-saturation,1 2,8,1/32,1/3,103 coalition domains; 7 x-vertices; 3 base dual vertices
49296138264120,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6,6,0.0833333333333,1256 | 1345 | 2346 | 1278 | 35678 | 45678,fixed coalitionwise price-saturation,1 5,4,1/16,3/8,82 coalition domains; 7 x-vertices; 4 base dual vertices
49714793213368,2,1 1 1 0 1 1 1 1,1 2 3 5 6 7 8,7,0.0666666666667,125 | 1267 | 3567 | 1368 | 2378 | 45678,fixed coalitionwise price-saturation,1 3,8,1/16,1/4,103 coalition domains; 7 x-vertices; 4 base dual vertices
49854431825336,2,1 1 1 1 1 0 1 1,1 2 3 4 5 7 8,7,0.0666666666667,124 | 1347 | 2357 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 3,8,1/16,1/3,104 coalition domains; 7 x-vertices; 4 base dual vertices
49854465912380,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,124 | 1356 | 23458 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,2 3,7,1/16,1/3,86 coalition domains; 7 x-vertices; 4 base dual vertices
49922128158270,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,1356 | 1248 | 23458 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 2,7,1/16,1/3,100 coalition domains; 7 x-vertices; 4 base dual vertices
49989755289144,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6,6,0.0714285714286,1246 | 1256 | 2345 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 4,5,1/16,3/8,90 coalition domains; 7 x-vertices; 4 base dual vertices
58157679484604,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0666666666667,1346 | 2347 | 1258 | 12678 | 35678 | 45678,fixed coalitionwise price-saturation,1 4,5,1/32,5/16,84 coalition domains; 7 x-vertices; 3 base dual vertices
58157744196920,2,1 1 1 1 1 0 1 1,1 2 3 4 5 7 8,7,0.0666666666667,1345 | 2345 | 1247 | 1258 | 3678 | 45678,fixed coalitionwise price-saturation,4 5,4,1/32,3/8,119 coalition domains; 7 x-vertices; 5 base dual vertices
58513033194808,2,1 1 1 0 1 1 1 1,1 2 3 5 6 7 8,7,0.0666666666667,125 | 2356 | 1367 | 1368 | 2378 | 45678,fixed coalitionwise price-saturation,1 4,7,1/16,3/16,105 coalition domains; 7 x-vertices; 4 base dual vertices
58513086434872,2,1 1 1 1 1 1 1 1,1 2 3 4 5 6,6,0.0769230769231,124 | 2345 | 1356 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 4,6,1/16,3/8,63 coalition domains; 7 x-vertices; 4 base dual vertices
